site_id,product_id,week_start,forecast_units,method
S1,P2,2026-06-15,90,ARIMA
S1,P2,2026-06-22,90,ARIMA
S1,P2,2026-06-29,90,ARIMA
S1,P2,2026-07-06,90,ARIMA
S2,P1,2025-07-14,250,ARIMA
S2,P1,2025-07-21,250,ARIMA
S2,P1,2025-07-28,250,ARIMA
S2,P1,2025-08-04,250,ARIMA
S2,P1,2025-08-11,250,ARIMA
S2,P1,2025-08-18,250,ARIMA
S2,P1,2025-08-25,250,ARIMA
S2,P1,2025-09-01,250,ARIMA
S2,P1,2025-09-08,250,ARIMA
S2,P1,2025-09-15,250,ARIMA
S2,P1,2025-09-22,250,ARIMA
S2,P1,2025-09-29,250,ARIMA
S2,P1,2025-10-06,250,ARIMA
S2,P1,2025-10-13,250,ARIMA
S2,P1,2025-10-20,250,ARIMA
S2,P1,2025-10-27,250,ARIMA
S2,P1,2025-11-03,250,ARIMA
S2,P1,2025-11-10,250,ARIMA
S2,P1,2025-11-17,250,ARIMA
S2,P1,2025-11-24,250,ARIMA
S2,P1,2025-12-01,250,ARIMA
S2,P1,2025-12-08,250,ARIMA
S2,P1,2025-12-15,250,ARIMA
S2,P1,2025-12-22,250,ARIMA
S2,P1,2025-12-29,250,ARIMA
S2,P1,2026-01-05,250,ARIMA
S2,P1,2026-01-12,250,ARIMA
S2,P1,2026-01-19,250,ARIMA
S2,P1,2026-01-26,250,ARIMA
S2,P1,2026-02-02,250,ARIMA
S2,P1,2026-02-09,250,ARIMA
S2,P1,2026-02-16,250,ARIMA
S2,P1,2026-02-23,250,ARIMA
S2,P1,2026-03-02,250,ARIMA
S2,P1,2026-03-09,250,ARIMA
S2,P1,2026-03-16,250,ARIMA
S2,P1,2026-03-23,250,ARIMA
S2,P1,2026-03-30,250,ARIMA
S2,P1,2026-04-06,250,ARIMA
S2,P1,2026-04-13,250,ARIMA
S2,P1,2026-04-20,250,ARIMA
S2,P1,2026-04-27,250,ARIMA
S2,P1,2026-05-04,250,ARIMA
S2,P1,2026-05-11,250,ARIMA
S2,P1,2026-05-18,250,ARIMA
S2,P1,2026-05-25,250,ARIMA
S2,P1,2026-06-01,250,ARIMA
S2,P1,2026-06-08,250,ARIMA
S2,P1,2026-06-15,250,ARIMA
S2,P1,2026-06-22,250,ARIMA
S2,P1,2026-06-29,250,ARIMA
S2,P1,2026-07-06,250,ARIMA
S2,P2,2025-07-14,120,ARIMA
S2,P2,2025-07-21,120,ARIMA
S2,P2,2025-07-28,120,ARIMA
S2,P2,2025-08-04,120,ARIMA
S2,P2,2025-08-11,120,ARIMA
S2,P2,2025-08-18,120,ARIMA
S2,P2,2025-08-25,120,ARIMA
S2,P2,2025-09-01,120,ARIMA
S2,P2,2025-09-08,120,ARIMA
S2,P2,2025-09-15,120,ARIMA
S2,P2,2025-09-22,120,ARIMA
S2,P2,2025-09-29,120,ARIMA
S2,P2,2025-10-06,120,ARIMA
S2,P2,2025-10-13,120,ARIMA
S2,P2,2025-10-20,120,ARIMA
S2,P2,2025-10-27,120,ARIMA
S2,P2,2025-11-03,120,ARIMA
S2,P2,2025-11-10,120,ARIMA
S2,P2,2025-11-17,120,ARIMA
S2,P2,2025-11-24,120,ARIMA
S2,P2,2025-12-01,120,ARIMA
S2,P2,2025-12-08,120,ARIMA
S2,P2,2025-12-15,120,ARIMA
S2,P2,2025-12-22,120,ARIMA
S2,P2,2025-12-29,120,ARIMA
S2,P2,2026-01-05,120,ARIMA
S2,P2,2026-01-12,120,ARIMA
S2,P2,2026-01-19,120,ARIMA
S2,P2,2026-01-26,120,ARIMA
S2,P2,2026-02-02,120,ARIMA
S2,P2,2026-02-09,120,ARIMA
S2,P2,2026-02-16,120,ARIMA
S2,P2,2026-02-23,120,ARIMA
S2,P2,2026-03-02,120,ARIMA
S2,P2,2026-03-09,120,ARIMA
S2,P2,2026-03-16,120,ARIMA
S2,P2,2026-03-23,120,ARIMA
S2,P2,2026-03-30,120,ARIMA
S2,P2,2026-04-06,120,ARIMA
S2,P2,2026-04-13,120,ARIMA
S2,P2,2026-04-20,120,ARIMA
S2,P2,2026-04-27,120,ARIMA
S2,P2,2026-05-04,120,ARIMA
S2,P2,2026-05-11,120,ARIMA
S2,P2,2026-05-18,120,ARIMA
S2,P2,2026-05-25,120,ARIMA
S2,P2,2026-06-01,120,ARIMA
S2,P2,2026-06-08,120,ARIMA
S2,P2,2026-06-15,120,ARIMA
S2,P2,2026-06-22,120,ARIMA
S2,P2,2026-06-29,120,ARIMA
S2,P2,2026-07-06,120,ARIMA
S3,P1,2025-07-14,300,ARIMA
S3,P1,2025-07-21,300,ARIMA
S3,P1,2025-07-28,300,ARIMA
S3,P1,2025-08-04,300,ARIMA
S3,P1,2025-08-11,300,ARIMA
S3,P1,2025-08-18,300,ARIMA
S3,P1,2025-08-25,300,ARIMA
S3,P1,2025-09-01,300,ARIMA
S3,P1,2025-09-08,300,ARIMA
S3,P1,2025-09-15,300,ARIMA
S3,P1,2025-09-22,300,ARIMA
S3,P1,2025-09-29,300,ARIMA
S3,P1,2025-10-06,300,ARIMA
S3,P1,2025-10-13,300,ARIMA
S3,P1,2025-10-20,300,ARIMA
S3,P1,2025-10-27,300,ARIMA
S3,P1,2025-11-03,300,ARIMA
S3,P1,2025-11-10,300,ARIMA
S3,P1,2025-11-17,300,ARIMA
S3,P1,2025-11-24,300,ARIMA
S3,P1,2025-12-01,300,ARIMA
S3,P1,2025-12-08,300,ARIMA
S3,P1,2025-12-15,300,ARIMA
S3,P1,2025-12-22,300,ARIMA
S3,P1,2025-12-29,300,ARIMA
S3,P1,2026-01-05,300,ARIMA
S3,P1,2026-01-12,300,ARIMA
S3,P1,2026-01-19,300,ARIMA
S3,P1,2026-01-26,300,ARIMA
S3,P1,2026-02-02,300,ARIMA
S3,P1,2026-02-09,300,ARIMA
S3,P1,2026-02-16,300,ARIMA
S3,P1,2026-02-23,300,ARIMA
S3,P1,2026-03-02,300,ARIMA
S3,P1,2026-03-09,300,ARIMA
S3,P1,2026-03-16,300,ARIMA
S3,P1,2026-03-23,300,ARIMA
S3,P1,2026-03-30,300,ARIMA
S3,P1,2026-04-06,300,ARIMA
S3,P1,2026-04-13,300,ARIMA
S3,P1,2026-04-20,300,ARIMA
S3,P1,2026-04-27,300,ARIMA
S3,P1,2026-05-04,300,ARIMA
S3,P1,2026-05-11,300,ARIMA
S3,P1,2026-05-18,300,ARIMA
S3,P1,2026-05-25,300,ARIMA
S3,P1,2026-06-01,300,ARIMA
S3,P1,2026-06-08,300,ARIMA
S3,P1,2026-06-15,300,ARIMA
S3,P1,2026-06-22,300,ARIMA
S3,P1,2026-06-29,300,ARIMA
S3,P1,2026-07-06,300,ARIMA
S3,P2,2025-07-14,140,ARIMA
S3,P2,2025-07-21,140,ARIMA
S3,P2,2025-07-28,140,ARIMA
S3,P2,2025-08-04,140,ARIMA
S3,P2,2025-08-11,140,ARIMA
S3,P2,2025-08-18,140,ARIMA
S3,P2,2025-08-25,140,ARIMA
S3,P2,2025-09-01,140,ARIMA
S3,P2,2025-09-08,140,ARIMA
S3,P2,2025-09-15,140,ARIMA
S3,P2,2025-09-22,140,ARIMA
S3,P2,2025-09-29,140,ARIMA
S3,P2,2025-10-06,140,ARIMA
S3,P2,2025-10-13,140,ARIMA
S3,P2,2025-10-20,140,ARIMA
S3,P2,2025-10-27,140,ARIMA
S3,P2,2025-11-03,140,ARIMA
S3,P2,2025-11-10,140,ARIMA
S3,P2,2025-11-17,140,ARIMA
S3,P2,2025-11-24,140,ARIMA
S3,P2,2025-12-01,140,ARIMA
S3,P2,2025-12-08,140,ARIMA
S3,P2,2025-12-15,140,ARIMA
S3,P2,2025-12-22,140,ARIMA
S3,P2,2025-12-29,140,ARIMA
S3,P2,2026-01-05,140,ARIMA
S3,P2,2026-01-12,140,ARIMA
S3,P2,2026-01-19,140,ARIMA
S3,P2,2026-01-26,140,ARIMA
S3,P2,2026-02-02,140,ARIMA
S3,P2,2026-02-09,140,ARIMA
S3,P2,2026-02-16,140,ARIMA
S3,P2,2026-02-23,140,ARIMA
S3,P2,2026-03-02,140,ARIMA
S3,P2,2026-03-09,140,ARIMA
S3,P2,2026-03-16,140,ARIMA
S3,P2,2026-03-23,140,ARIMA
S3,P2,2026-03-30,140,ARIMA
S3,P2,2026-04-06,140,ARIMA
S3,P2,2026-04-13,140,ARIMA
S3,P2,2026-04-20,140,ARIMA
S3,P2,2026-04-27,140,ARIMA
S3,P2,2026-05-04,140,ARIMA
S3,P2,2026-05-11,140,ARIMA
S3,P2,2026-05-18,140,ARIMA
S3,P2,2026-05-25,140,ARIMA
S3,P2,2026-06-01,140,ARIMA
S3,P2,2026-06-08,140,ARIMA
S3,P2,2026-06-15,140,ARIMA
S3,P2,2026-06-22,140,ARIMA
S3,P2,2026-06-29,140,ARIMA
S3,P2,2026-07-06,140,ARIMA
